periodo,long,lat,expediente,calle,calle_nro,seccion,manzana,parcela,fecha_inicio_obra,estado,ultimo_avo_solicitado,fecha_ultimo_avo,estado_tramite,profesional,metros_a_construir,fecha_estado_tramite,tipo_obra,destino,barrio,comuna,codigo_postal,codigo_postal_argentino
202002,-58.41157,-34.606538,,SARMIENTO,3208,13,057,001A,2019-10-12,Normal,Inicio de obra,2019-12-16,Inicio de obra,LALA NISIM RICARDO,973.44,2019-12-18,AMPLIACION Y MODIFICACION C/DEMOLICION PARCIAL,OTROS,Comuna 3,1196,Balvanera,C1196AAJ
202002,,,25871534/2016,SENDERO PEATONAL SIN NOMBRE OFICIAL,4363,66,101,001,2017-03-31,Normal,En AVO 4,2018-03-08,Obra finalizada,HATSERIAN FEDERICO,2400.00,2018-03-12,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,,,,
202002,-58.447407,-34.569383,13764166/2016,AGUILAR,2434,37,151,003a,2017-01-20,Normal,En AVO 4,2019-04-24,Obra finalizada,PASQUARELLI PAOLA EMILIA,1479.60,2018-12-07,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 13,1426,Colegiales,C1426DSJ
202002,-58.482073,-34.568282,,LUGONES,2748,53,052,026B,,Normal,Demolición final,2019-11-29,Pedido de excavación menor a 4 mts autorizado,MACHIOTE IGNACIO LUIS,1301.00,2020-01-23,DEMOLICIÓN TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 12,1430,Villa Urquiza,C1430ECD
202002,-58.395444999999995,-34.587977,11581348/2017,AZCUENAGA,1872,11,024 ,001H,2017-07-19,Clausurada,Inicio de obra,,Inicio de obra,MERLIN LEONARDO JOSE,10.87,2018-11-05,MODIFICACION Y/O AMPLIACION,OTROS,Comuna 2,1128,Recoleta,C1128AAF
202002,-58.497789000000004,-34.638196,,LEOPARDI,74,60,138,016c,,Normal,Demolición,,Pedido de demolición autorizado,CANO MONICA BEATRIZ,86.00,2020-01-21,DEMOLICIÓN TOTAL,VIVIENDA MULTIFAMILIAR,Comuna 10,1407,Villa Luro,C1407IDB
202002,-58.427826,-34.583038,22831554/2016,FRAY JUSTO SANTAMARIA DE ORO,2142,19,124,012a,,Normal,En AVO 1,2020-08-01,En AVO 1,CARPINACCI HORACIO EDUARDO,39372.85,2019-05-13,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 14,1425,Palermo,C1425FOD
202002,-58.503287,-34.612485,15727192/2018,"SASTRE, MARCOS",4272,81,030,010,2019-07-29,Normal,Excavacion > 4 mts al 50%,2019-09-26,Excavación al >= -4m  50%,LUDIGLIANI HORACIO,1277.10,2019-10-02,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 10,1417,Monte Castro,C1417GAH
202002,-58.474006,-34.630545,18794004/2015,CUENCA,91,65,001 ,010 ,,Normal,En AVO 4,,En AVO 4,CODUGNELLO MARTIN ADRIAN,141.00,2017-10-07,OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 7,1406,Flores,C1406AQA
202002,-58.478811,-34.546931,,RUIZ HUIDOBRO,3063,43,100,006H,,Normal,Demolición final,,Obra finalizada,WELEDNIGER ENRIQUE,5062.69,2019-11-13,DEMOLICIÓN TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 12,1429,Saavedra,C1429DNY
202002,-58.458298,-34.620537,38605468/2015,"ARANGUREN, JUAN F., Dr.",1889,57,026,021,,Normal,Obra finalizada sin AVO 4,2017-07-13,Obra finalizada,MUÑOZ SEBASTIAN LEONEL,14674.00,2017-07-20,AMPLIACION Y MODIFICACION C/DEMOLICION PARCIAL,OTROS,Comuna 7,1406,Flores,C1406FWG
202002,-58.48049399999999,-34.62519,22795387/2015,"VALLESE, FELIPE",3518,77,128,002,2017-07-31,Normal,En AVO 1,2017-07-12,En AVO 1,ALEGRE RICARDO,273.69,2018-11-02,OBRA NUEVA,OTROS,Comuna 10,1407,Floresta,C1407MHF
202002,-58.382346999999996,-34.619797,,"CALVO, CARLOS",1150,14,056,007c,,Normal,Demolición,,Pedido de demolición autorizado,PEREYRA MARÍA EUGENIA,7826.15,2019-12-09,DEMOLICIÓN TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 1,1102,Constitucion,C1102AAX
202002,-58.505403,-34.630829,,"MAGARIÑOS CERVANTES, A.",5210,91,086 ,014 ,2019-10-07,Normal,En AVO 1,2019-02-10,En AVO 1,LOWUS ALEJANDRO,140.74,2019-10-15,DEMOLICION TOTAL Y OBRA NUEVA,OTROS,Comuna 10,1407,Villa Luro,C1407MLN
202002,-58.428078,-34.607193,28622533/2015,POTOSI,4321,17,029,043a,,Normal,Demolición final,2018-05-01,Obra finalizada,SAMBRESQUI GUILLERMO DANIEL,,2018-01-08,DEMOLICION TOTAL,OTROS,Comuna 5,1199,Almagro,C1199ACM
202002,-58.402933,-34.620352000000004,,JUJUY AV.,938,22,008 ,014B,2019-10-10,Normal,Sin inicio,,Pedido de excavación al 10% autorizado, BRITO GUSTAVO ADOLFO,512.03,2019-10-15,OBRA NUEVA,OTROS,Comuna 3,1229,San Cristobal,C1229ABR
202002,-58.446583999999994,-34.617171,27932793/2017,"GAINZA, MARTIN DE, GRAL.",445,45,004 ,018 ,2018-03-19,Normal,En AVO 1,2018-04-10,Pedido de AVO 2 autorizado,GASPARRI GABRIEL DIEGO,1887.00,2019-12-12,DEMOLICION TOTAL Y OBRA NUEVA,OTROS,Comuna 6,1405,Caballito,C1405AKG
202002,-58.401431,-34.583642,27963830/2018,LAS HERAS GENERAL AV.,2841,15,074 ,013 ,,Normal,Demolición final,2018-11-16,Obra finalizada, BRITO GUSTAVO ADOLFO,,2018-12-28,DEMOLICION TOTAL,VIVIENDA MULTIFAMILIAR,Comuna 14,1425,Palermo,C1425ASF
202002,-58.394279000000004,-34.600186,24930316/2015,RIOBAMBA,761,9,082,016,,Normal,,,Certificación aprobada,BRATTI ADOLFO JORGE,,2017-10-07,,,Comuna 3,1025,Balvanera,C1025ABO
202002,-58.402998,-34.597648,20713106/2018,PARAGUAY,2468,11,001,009,,Normal,Obra finalizada,2018-10-18,Obra finalizada,MERENER MARIANO JAVIER,,2019-11-14,DEMOLICION TOTAL,VIVIENDA MULTIFAMILIAR,Comuna 2,1121,Recoleta,C1121ABN
202002,-58.458828000000004,-34.623762,24700945/2016,BOYACA AV.,286,65,129 ,012 ,2017-07-06,Normal,En AVO 3,2019-09-24,En AVO 3,DONATO JUAN,1856.45,2019-09-25,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 7,1406,Flores,C1406BHD
202002,-58.486259999999994,-34.553288,25944813/2018,TRONADOR,4065,55,242 ,009 ,2019-06-17,Normal,En AVO 1,2019-05-09,En AVO 1,RIVAS SANCHEZ PEDRO NICOLAS,286.32,2019-09-16,AMPLIACION Y MODIFICACION C/DEMOLICION PARCIAL,OTROS,Comuna 12,1430,Saavedra,C1430DMW
202002,-58.449985,-34.560877000000005,,"SUCRE, ANTONIO JOSE de, Mcal.",1841,25,038,010,,Normal,Demolición,2019-07-10,Con pedido de demolición final,SOAE URIEL TEOFILO,183.00,2020-02-07,DEMOLICION TOTAL Y OBRA NUEVA,VIVIENDA MULTIFAMILIAR,Comuna 13,1428,Belgrano,C1428DVE
